payment_installments,payment_value,payment_total,payment_count,delivery_delay_days,purchase_to_delivery_days,total_to_value_ratio,is_delayed,purchase_hour,purchase_dow,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_not_defined,payment_type_voucher,payment_type_nan,authorization_status_authorized,authorization_status_declined,authorization_status_pending,authorization_status_reversed,authorization_status_nan,transaction_status_failed,transaction_status_pending,transaction_status_reversed,transaction_status_successful,transaction_status_nan,order_status_approved,order_status_canceled,order_status_created,order_status_delivered,order_status_invoiced,order_status_processing,order_status_shipped,order_status_unavailable,order_status_nan,order_channel_marketplace,order_channel_mobile_app,order_channel_online,order_channel_nan,derived_delivery_state_canceled,derived_delivery_state_delivered,derived_delivery_state_not_delivered,derived_delivery_state_shipped,derived_delivery_state_unavailable,derived_delivery_state_unknown,derived_delivery_state_nan,amount_bucket_low,amount_bucket_medium,amount_bucket_high,amount_bucket_nan,risk_score,actual_disputed,decision
1,26.21,72.05000000000001,2,-26.71388888888889,17.350891203703704,2.7489507821442203,0,22,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.510831949497867,0,resolve
6,256.54,256.54,1,-4.973356481481481,18.326747685185182,1.0,0,16,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5215279754002909,0,resolve
1,365.0,374.43,2,-11.973136574074072,10.232471064814815,1.0258356164383562,0,21,2,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.5092794423886682,0,resolve
1,72.14,72.14,1,-6.146412037037037,26.91351851851852,1.0,0,22,2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5163430962103837,0,resolve
5,103.37,103.37,1,13.811111111111112,32.77846064814815,1.0,1,0,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.544347633954817,0,escalate
4,220.02,220.02,1,-12.14366898148148,14.862824074074076,1.0,0,23,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5114740168740401,0,resolve
1,65.09,65.09,1,-4.047025462962963,13.061770833333334,1.0,0,21,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5180489169861161,0,resolve
6,245.47,245.47,1,-13.03738425925926,10.177604166666669,1.0,0,18,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5188522404556846,0,resolve
1,89.26,89.26,1,-11.14974537037037,13.400671296296297,1.0,0,10,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5200997908457716,0,resolve
2,119.38,119.38,1,-18.96976851851852,9.161377314814814,1.0,0,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5187875888013331,0,resolve
3,90.17,90.17,1,-8.330752314814815,18.289375,1.0,0,9,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5252889176393495,0,resolve
1,250.39,250.39,1,-16.364872685185187,16.058101851851852,1.0,0,13,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.510591308328888,1,resolve
2,148.9,148.9,1,-23.413229166666667,11.241921296296296,1.0,0,8,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5194913549045945,1,resolve
9,506.48,506.48,1,-35.23306712962963,6.00925925925926,1.0,0,18,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5113351047679858,0,resolve
1,102.93,102.93,1,-0.2857175925925926,11.782013888888889,1.0,0,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5224272585145867,0,resolve
1,10.85,44.0,2,-4.043090277777778,4.145358796296296,4.055299539170507,0,19,5,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5238024356695039,0,resolve
3,238.81,238.81,1,0.6032523148148148,31.69109953703704,1.0,1,21,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5086030042227768,1,resolve
1,70.14,70.14,1,-12.199039351851852,20.24329861111111,1.0,0,13,5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5188934332304614,0,resolve
1,125.38,125.38,1,-5.158449074074074,22.15098379629629,1.0,0,16,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5185474497981954,0,resolve
1,30.0,80.03999999999999,3,-11.973136574074072,10.232471064814815,2.668,0,19,2,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0.05338437016874536,0,resolve
5,84.69,84.69,1,-16.22212962962963,13.35349537037037,1.0,0,10,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5233343196037632,0,resolve
1,45.09,45.09,1,-17.281944444444445,4.21462962962963,1.0,0,12,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5182678890564226,0,resolve
1,133.9,133.9,1,-9.260358796296297,12.223680555555555,1.0,0,12,3,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.4971360515272192,0,resolve
3,555.32,555.32,1,-19.89412037037037,19.165578703703705,1.0,0,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5171483435435003,0,resolve
1,66.1,66.1,1,-10.299837962962965,16.272916666666667,1.0,0,10,5,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.0005070290971293382,0,resolve
1,129.42,220.59,2,-6.092407407407407,13.001770833333332,1.704450625869263,0,21,2,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5007370554006318,0,resolve
1,53.58,53.58,1,-8.324733796296297,10.307881944444444,1.0,0,8,4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5202237850010916,0,resolve
1,177.93,177.93,1,-17.13574074074074,4.391574074074074,1.0,0,11,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5286822204364989,0,resolve
1,83.41,83.41,1,-16.21255787037037,4.306064814814815,1.0,0,11,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5198171551866966,1,resolve
1,168.23,168.23,1,-1.2127546296296297,17.857476851851853,1.0,0,22,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5124099717448164,0,resolve
2,281.51,281.51,1,2.563136574074074,15.087013888888889,1.0,1,11,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5359364824425166,0,resolve
3,106.87,106.87,1,-19.40563657407408,11.020381944444445,1.0,0,13,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5199781009959764,0,resolve
10,675.94,675.94,1,-13.22974537037037,18.014375,1.0,0,18,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5332137590994804,0,resolve
3,77.95,77.95,1,-9.455277777777775,8.166967592592593,1.0,0,9,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5228287746654522,1,resolve
